query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
ACM49037.1	gnl|CDD|227095	25.362	138	97	3	15	148	4	139	4.77e-14	70.9	29	COG4753	T					Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain
ACM49037.1	gnl|CDD|226456	26.623	154	107	3	13	164	1	150	6.45e-13	66.8	33	COG3947	T					Response regulator containing CheY-like receiver and SARP domains
ACM49037.1	gnl|CDD|225111	31.884	138	79	6	12	137	1	135	1.52e-12	65.8	27	COG2201	N	T				Chemotaxis response regulator containing a CheY-like receiver domain and a methylesterase domain
ACM49037.1	gnl|CDD|226230	29.197	137	85	4	15	144	8	139	8.79e-12	61.2	28	COG3707	T					Response regulator with putative antiterminator output domain
ACM49037.1	gnl|CDD|225818	30.252	119	73	4	14	128	3	115	4.08e-09	54.3	25	COG3279	K	T				Response regulator of the LytR/AlgR family
ACM49037.1	gnl|CDD|223786	20.800	125	86	4	174	293	45	161	1.19e-04	40.9	26	COG0714	R					MoxR-like ATPases
ACM49037.1	gnl|CDD|224391	31.148	61	37	2	142	197	7	67	0.002	37.3	12	COG1474	L	O				Cdc6-related protein, AAA superfamily ATPase
ACM49037.1	gnl|CDD|223994	19.753	81	59	3	220	297	203	280	0.007	35.8	17	COG1067	O					Predicted ATP-dependent protease
ACM49039.1	gnl|CDD|224169	43.629	463	248	6	7	466	1	453	4.79e-175	496	96	COG1249	C					Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes
ACM49039.1	gnl|CDD|223523	23.465	456	290	15	14	454	2	413	1.86e-25	104	93	COG0446	R					Uncharacterized NAD(FAD)-dependent dehydrogenases
ACM49039.1	gnl|CDD|223523	48.649	37	19	0	11	47	137	173	1.38e-04	41.1	93	COG0446	R					Uncharacterized NAD(FAD)-dependent dehydrogenases
ACM49039.1	gnl|CDD|223566	24.615	325	180	11	12	322	5	278	3.96e-21	90.8	65	COG0492	O					Thioredoxin reductase
ACM49039.1	gnl|CDD|224171	25.446	224	136	11	112	319	71	279	1.17e-19	89.3	44	COG1251	C					NAD(P)H-nitrite reductase
ACM49039.1	gnl|CDD|224172	19.771	349	185	14	13	319	6	301	3.24e-13	68.0	64	COG1252	C					NADH dehydrogenase, FAD-containing subunit
ACM49039.1	gnl|CDD|223717	23.810	168	113	4	8	165	1	163	1.33e-12	66.3	33	COG0644	C					Dehydrogenases (flavoproteins)
ACM49039.1	gnl|CDD|226160	25.148	338	168	14	12	322	213	492	2.59e-10	59.4	65	COG3634	O					Alkyl hydroperoxide reductase, large subunit
ACM49039.1	gnl|CDD|224154	42.500	40	23	0	8	47	1	40	9.65e-10	57.4	8	COG1233	Q					Phytoene dehydrogenase and related proteins
ACM49039.1	gnl|CDD|224992	48.718	39	20	0	8	46	1	39	1.49e-08	53.4	8	COG2081	R					Predicted flavoproteins
ACM49039.1	gnl|CDD|223567	22.252	373	188	20	15	339	128	446	6.69e-07	48.4	68	COG0493	E	R				NADPH-dependent glutamate synthase beta chain and related oxidoreductases
ACM49039.1	gnl|CDD|223567	21.818	110	65	6	144	242	97	196	0.003	36.9	68	COG0493	E	R				NADPH-dependent glutamate synthase beta chain and related oxidoreductases
ACM49039.1	gnl|CDD|223981	36.842	38	24	0	10	47	6	43	6.45e-06	45.4	8	COG1053	C					Succinate dehydrogenase/fumarate reductase, flavoprotein subunit
ACM49039.1	gnl|CDD|223636	47.368	38	20	0	12	49	3	40	7.77e-06	45.0	8	COG0562	M					UDP-galactopyranose mutase
ACM49039.1	gnl|CDD|224070	44.444	36	20	0	12	47	126	161	1.40e-05	44.4	39	COG1148	C					Heterodisulfide reductase, subunit A and related polyferredoxins
ACM49039.1	gnl|CDD|224070	23.494	166	99	5	143	291	99	253	0.003	36.7	39	COG1148	C					Heterodisulfide reductase, subunit A and related polyferredoxins
ACM49039.1	gnl|CDD|224550	43.902	41	22	1	7	47	28	67	1.29e-04	40.8	9	COG1635	H					Flavoprotein involved in thiazole biosynthesis
ACM49039.1	gnl|CDD|226103	42.857	42	22	1	8	47	3	44	1.33e-04	41.3	8	COG3573	R					Predicted oxidoreductase
ACM49039.1	gnl|CDD|224983	19.247	239	151	12	8	225	6	223	2.07e-04	40.5	46	COG2072	P					Predicted flavoprotein involved in K+ transport
ACM49039.1	gnl|CDD|223727	40.000	30	18	0	12	41	4	33	4.15e-04	39.3	6	COG0654	H	C				2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
ACM49039.1	gnl|CDD|225186	36.364	33	21	0	8	40	5	37	4.40e-04	39.7	7	COG2303	E					Choline dehydrogenase and related flavoproteins
ACM49039.1	gnl|CDD|224152	34.884	43	28	0	8	50	5	47	4.89e-04	39.3	9	COG1231	E					Monoamine oxidase
ACM49039.1	gnl|CDD|223737	34.884	43	22	2	8	47	2	41	7.70e-04	38.7	8	COG0665	E					Glycine/D-amino acid oxidases (deaminating)
ACM49039.1	gnl|CDD|225915	38.889	36	22	0	12	47	3	38	0.002	37.1	8	COG3380	R					Predicted NAD/FAD-dependent oxidoreductase
ACM49039.1	gnl|CDD|223651	47.059	34	18	0	8	41	10	43	0.004	36.5	7	COG0578	C					Glycerol-3-phosphate dehydrogenase
ACM49044.1	gnl|CDD|224156	29.091	275	171	9	50	311	4	267	1.62e-40	139	84	COG1235	R					Metal-dependent hydrolases of the beta-lactamase superfamily I
ACM49044.1	gnl|CDD|224155	20.065	309	185	13	49	313	1	291	2.93e-16	74.8	85	COG1234	R					Metal-dependent hydrolases of the beta-lactamase superfamily III
ACM49044.1	gnl|CDD|224158	23.711	194	117	6	86	273	24	192	1.18e-06	45.9	60	COG1237	R					Metal-dependent hydrolases of the beta-lactamase superfamily II
ACM49044.1	gnl|CDD|224157	25.153	163	95	9	83	228	13	165	1.79e-05	42.8	47	COG1236	J					Predicted exonuclease of the beta-lactamase fold involved in RNA processing
ACM49044.1	gnl|CDD|223565	25.862	58	38	1	85	137	27	84	8.20e-04	37.5	17	COG0491	R					Zn-dependent hydrolases, including glyoxylases
ACM49044.1	gnl|CDD|224696	27.848	79	39	3	84	151	194	265	0.004	35.8	22	COG1782	R					Predicted metal-dependent RNase, consists of a metallo-beta-lactamase domain and an RNA-binding KH domain
ACM49045.1	gnl|CDD|223252	28.667	300	170	13	4	267	107	398	3.51e-51	170	96	COG0174	E					Glutamine synthetase
ACM49045.1	gnl|CDD|225081	24.615	130	66	6	22	121	3	130	0.004	35.1	36	COG2170	S					Uncharacterized conserved protein
ACM49046.1	gnl|CDD|223646	37.584	298	173	7	75	367	16	305	5.15e-77	237	78	COG0573	P					ABC-type phosphate transport system, permease component
ACM49046.1	gnl|CDD|223654	33.600	250	147	7	125	367	50	287	1.87e-44	152	65	COG0581	P					ABC-type phosphate transport system, permease component
ACM49046.1	gnl|CDD|226956	25.249	301	152	3	139	367	426	725	1.93e-25	104	61	COG4590	R					ABC-type uncharacterized transport system, permease component
ACM49046.1	gnl|CDD|226629	24.675	231	144	7	148	369	12	221	3.67e-11	59.6	59	COG4149	P					ABC-type molybdate transport system, permease component
ACM49046.1	gnl|CDD|223629	23.364	214	149	4	148	360	62	261	3.98e-10	56.9	57	COG0555	O					ABC-type sulfate transport system, permease component
ACM49046.1	gnl|CDD|224098	22.273	220	143	4	148	367	70	261	5.26e-10	56.4	59	COG1177	E					ABC-type spermidine/putrescine transport system, permease component II
ACM49046.1	gnl|CDD|224099	23.348	227	154	5	144	367	57	266	6.40e-08	51.1	61	COG1178	P					ABC-type Fe3+ transport system, permease component
ACM49046.1	gnl|CDD|224099	23.246	228	150	7	141	367	331	534	0.002	36.8	61	COG1178	P					ABC-type Fe3+ transport system, permease component
ACM49046.1	gnl|CDD|224096	25.541	231	147	7	148	367	73	289	1.88e-06	46.1	59	COG1175	G					ABC-type sugar transport systems, permease components
ACM49046.1	gnl|CDD|227008	24.324	222	144	8	148	367	28	227	3.39e-06	44.7	59	COG4662	H					ABC-type tungstate transport system, periplasmic component
ACM49046.1	gnl|CDD|223673	20.863	139	88	2	153	291	75	191	1.34e-05	43.0	37	COG0600	P					ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
ACM49046.1	gnl|CDD|224922	26.347	167	85	6	148	297	21	166	1.90e-04	39.5	40	COG2011	P					ABC-type metal ion transport system, permease component
ACM49046.1	gnl|CDD|226644	26.708	161	88	5	145	299	98	234	5.60e-04	38.4	41	COG4176	E					ABC-type proline/glycine betaine transport system, permease component
ACM49046.1	gnl|CDD|224097	23.881	134	87	2	237	370	165	283	0.003	35.7	36	COG1176	E					ABC-type spermidine/putrescine transport system, permease component I
ACM49047.1	gnl|CDD|223092	46.830	899	437	17	1	879	1	878	0.0	973	99	COG0013	J					Alanyl-tRNA synthetase
ACM49047.1	gnl|CDD|225427	27.309	249	139	10	470	708	15	231	1.79e-26	105	27	COG2872	R					Predicted metal-dependent hydrolases related to alanyl-tRNA synthetase HxxxH domain
ACM49047.1	gnl|CDD|223518	27.972	143	86	7	564	699	19	151	2.12e-04	41.9	15	COG0441	J					Threonyl-tRNA synthetase
ACM49048.1	gnl|CDD|223152	65.411	292	101	0	1	292	1	292	3.85e-157	437	99	COG0074	C					Succinyl-CoA synthetase, alpha subunit
ACM49048.1	gnl|CDD|223972	23.243	185	122	8	29	202	34	209	2.50e-09	54.7	59	COG1042	C					Acyl-CoA synthetase (NDP forming)
ACM49049.1	gnl|CDD|223123	53.608	388	174	4	13	397	2	386	2.55e-168	473	96	COG0045	C					Succinyl-CoA synthetase, beta subunit
ACM49049.1	gnl|CDD|223972	24.138	87	64	2	294	378	347	433	0.007	35.4	21	COG1042	C					Acyl-CoA synthetase (NDP forming)
ACM49051.1	gnl|CDD|223304	23.077	325	203	12	5	320	27	313	9.52e-38	134	93	COG0226	P					ABC-type phosphate transport system, periplasmic component
ACM49052.1	gnl|CDD|224910	31.863	204	128	6	3	201	4	201	4.69e-37	125	95	COG1999	R					Uncharacterized protein SCO1/SenC/PrrC, involved in biogenesis of respiratory and photosynthetic systems
ACM49053.1	gnl|CDD|224981	29.499	339	201	7	10	330	8	326	3.68e-63	201	95	COG2070	R					Dioxygenases related to 2-nitropropane dioxygenase
ACM49053.1	gnl|CDD|227314	25.847	236	138	10	29	230	48	280	6.01e-09	54.5	60	COG4981	I					Enoyl reductase domain of yeast-type FAS1
ACM49053.1	gnl|CDD|223245	27.451	102	46	4	125	204	176	271	0.004	35.6	24	COG0167	F					Dihydroorotate dehydrogenase
ACM49054.1	gnl|CDD|225580	35.465	172	109	2	35	205	7	177	2.62e-42	138	83	COG3038	C					Cytochrome B561
ACM49055.1	gnl|CDD|224099	28.545	536	357	10	1	523	6	528	9.49e-80	257	96	COG1178	P					ABC-type Fe3+ transport system, permease component
ACM49055.1	gnl|CDD|224098	21.344	253	170	7	282	523	19	253	1.12e-13	68.4	84	COG1177	E					ABC-type spermidine/putrescine transport system, permease component II
ACM49055.1	gnl|CDD|224098	19.214	229	145	7	9	220	15	220	1.01e-07	50.3	84	COG1177	E					ABC-type spermidine/putrescine transport system, permease component II
ACM49055.1	gnl|CDD|223629	21.032	252	184	7	282	523	16	262	1.92e-11	61.9	85	COG0555	O					ABC-type sulfate transport system, permease component
ACM49055.1	gnl|CDD|223629	21.171	222	156	5	1	217	14	221	1.37e-09	56.1	85	COG0555	O					ABC-type sulfate transport system, permease component
ACM49055.1	gnl|CDD|226629	22.275	211	156	5	320	523	4	213	2.30e-11	60.7	65	COG4149	P					ABC-type molybdate transport system, permease component
ACM49055.1	gnl|CDD|226629	22.436	156	101	4	60	208	21	163	2.33e-09	54.9	65	COG4149	P					ABC-type molybdate transport system, permease component
ACM49055.1	gnl|CDD|224097	21.596	213	156	5	9	213	22	231	5.12e-08	51.5	83	COG1176	E					ABC-type spermidine/putrescine transport system, permease component I
ACM49055.1	gnl|CDD|224097	20.974	267	183	8	281	523	10	272	4.46e-06	45.7	83	COG1176	E					ABC-type spermidine/putrescine transport system, permease component I
ACM49055.1	gnl|CDD|226354	22.422	223	150	6	309	522	55	263	1.20e-06	47.2	39	COG3833	G					ABC-type maltose transport systems, permease component
ACM49055.1	gnl|CDD|226665	27.273	110	75	2	9	113	23	132	9.76e-06	44.3	19	COG4208	P					ABC-type sulfate transport system, permease component
ACM49055.1	gnl|CDD|223472	14.563	206	146	5	282	469	16	209	0.002	37.2	35	COG0395	G					ABC-type sugar transport system, permease component
ACM49056.1	gnl|CDD|224482	21.466	382	191	18	78	453	18	296	1.22e-15	75.4	73	COG1566	V					Multidrug resistance efflux pump
ACM49056.1	gnl|CDD|223914	15.000	460	271	14	70	502	5	371	6.69e-11	60.9	85	COG0845	M					Membrane-fusion protein
ACM49056.1	gnl|CDD|224117	21.127	142	98	2	210	337	293	434	1.21e-06	48.2	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|224117	21.192	151	105	3	206	353	226	365	2.61e-06	47.0	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|224117	24.476	143	104	3	193	335	802	940	1.54e-05	44.7	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|224117	23.684	152	100	2	201	346	740	881	3.30e-05	43.5	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|224117	24.667	150	109	2	201	350	677	822	3.39e-05	43.5	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|224117	23.567	157	102	3	203	352	784	929	3.72e-05	43.5	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|224117	22.000	150	108	2	203	346	707	853	2.71e-04	40.5	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|224117	27.049	122	78	2	225	346	666	776	4.13e-04	40.1	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|224117	18.182	187	141	2	194	378	351	527	0.001	38.9	36	COG1196	D					Chromosome segregation ATPases
ACM49056.1	gnl|CDD|226400	21.970	132	88	4	273	398	40	162	1.93e-04	40.1	25	COG3883	S					Uncharacterized protein conserved in bacteria
ACM49056.1	gnl|CDD|223496	21.481	135	97	2	211	344	293	419	5.41e-04	39.7	26	COG0419	L					ATPase involved in DNA repair
ACM49056.1	gnl|CDD|227278	18.471	157	103	5	213	348	39	191	0.001	38.2	27	COG4942	D					Membrane-bound metallopeptidase
ACM49056.1	gnl|CDD|227061	19.337	181	115	7	181	349	154	315	0.006	36.4	33	COG4717	S					Uncharacterized conserved protein
ACM49056.1	gnl|CDD|224495	21.795	78	60	1	224	301	57	133	0.007	35.4	15	COG1579	R					Zn-ribbon protein, possibly nucleic acid-binding
ACM49057.1	gnl|CDD|227877	22.275	211	148	7	1	200	6	211	6.64e-20	81.8	92	COG5590	S					Uncharacterized conserved protein
ACM49057.1	gnl|CDD|223647	22.642	53	36	1	39	91	687	734	7.73e-04	37.0	24	COG0574	G					Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
ACM49058.1	gnl|CDD|223842	38.496	452	256	11	7	444	5	448	8.69e-130	380	96	COG0771	M					UDP-N-acetylmuramoylalanine-D-glutamate ligase
ACM49058.1	gnl|CDD|223841	24.415	299	184	13	110	371	102	395	3.07e-18	83.5	58	COG0770	M					UDP-N-acetylmuramyl pentapeptide synthase
ACM49058.1	gnl|CDD|223840	25.703	249	130	8	108	309	88	328	2.50e-17	80.8	44	COG0769	M					UDP-N-acetylmuramyl tripeptide synthase
ACM49058.1	gnl|CDD|223844	26.522	230	137	10	114	320	110	330	2.92e-17	80.7	46	COG0773	M					UDP-N-acetylmuramate-alanine ligase
ACM49059.1	gnl|CDD|223893	33.953	430	267	8	16	439	7	425	1.88e-94	288	96	COG0823	U					Periplasmic component of the Tol biopolymer transport system
ACM49059.1	gnl|CDD|224423	17.100	269	175	10	205	437	14	270	4.06e-10	58.7	53	COG1506	E					Dipeptidyl aminopeptidases/acylaminoacyl-peptidases
ACM49059.1	gnl|CDD|227282	27.848	158	83	7	232	360	63	218	4.81e-09	55.2	45	COG4946	S					Uncharacterized protein related to the periplasmic component of the Tol biopolymer transport system
ACM49059.1	gnl|CDD|227282	28.000	175	113	7	226	395	339	505	1.16e-04	41.3	45	COG4946	S					Uncharacterized protein related to the periplasmic component of the Tol biopolymer transport system
ACM49059.1	gnl|CDD|227282	24.419	86	60	2	273	353	60	145	6.49e-04	39.0	45	COG4946	S					Uncharacterized protein related to the periplasmic component of the Tol biopolymer transport system
ACM49059.1	gnl|CDD|227282	27.619	105	63	4	329	425	72	171	0.004	36.3	45	COG4946	S					Uncharacterized protein related to the periplasmic component of the Tol biopolymer transport system
ACM49059.1	gnl|CDD|225201	23.000	300	207	8	104	399	70	349	1.50e-07	50.5	67	COG2319	R					FOG: WD40 repeat
ACM49059.1	gnl|CDD|225201	27.419	186	112	6	181	351	251	428	1.34e-04	40.8	67	COG2319	R					FOG: WD40 repeat
ACM49060.1	gnl|CDD|223668	37.017	543	326	8	26	553	11	552	5.78e-170	490	94	COG0595	R					Predicted hydrolase of the metallo-beta-lactamase superfamily
ACM49060.1	gnl|CDD|223565	23.913	184	121	5	29	196	9	189	2.35e-11	61.4	30	COG0491	R					Zn-dependent hydrolases, including glyoxylases
ACM49060.1	gnl|CDD|224157	24.199	281	155	11	24	281	1	246	2.46e-11	62.8	46	COG1236	J					Predicted exonuclease of the beta-lactamase fold involved in RNA processing
ACM49060.1	gnl|CDD|225212	17.204	186	123	7	20	178	9	190	2.46e-06	46.6	28	COG2333	R					Predicted hydrolase (metallo-beta-lactamase superfamily)
ACM49060.1	gnl|CDD|224696	29.293	99	55	6	29	120	186	276	5.01e-05	43.1	16	COG1782	R					Predicted metal-dependent RNase, consists of a metallo-beta-lactamase domain and an RNA-binding KH domain
ACM49060.1	gnl|CDD|224156	18.182	209	136	7	61	244	35	233	5.49e-05	42.1	33	COG1235	R					Metal-dependent hydrolases of the beta-lactamase superfamily I
ACM49060.1	gnl|CDD|223503	21.839	87	60	4	79	161	69	151	4.67e-04	39.6	15	COG0426	C					Uncharacterized flavoproteins
ACM49063.1	gnl|CDD|223126	72.131	122	33	1	1	122	7	127	2.35e-62	183	98	COG0048	J					Ribosomal protein S12
ACM49064.1	gnl|CDD|223127	54.135	133	57	2	21	153	20	148	1.62e-54	166	83	COG0049	J					Ribosomal protein S7
ACM49065.1	gnl|CDD|223556	61.328	693	262	3	1	690	1	690	0.0	1032	100	COG0480	J					Translation elongation factors (GTPases)
ACM49065.1	gnl|CDD|226593	30.159	504	264	16	7	474	9	460	2.31e-63	216	68	COG4108	J					Peptide chain release factor RF-3
ACM49065.1	gnl|CDD|224138	27.551	490	236	13	11	485	6	391	6.79e-58	203	69	COG1217	T					Predicted membrane GTPase involved in stress response
ACM49065.1	gnl|CDD|223557	22.688	692	303	22	6	678	5	483	9.47e-39	148	98	COG0481	M					Membrane GTPase LepA
ACM49065.1	gnl|CDD|227581	28.324	173	98	7	12	159	9	180	2.05e-13	69.6	21	COG5256	J					Translation elongation factor EF-1alpha (GTPase)
ACM49065.1	gnl|CDD|223606	31.250	144	74	4	15	155	10	131	1.82e-11	63.7	20	COG0532	J					Translation initiation factor 2 (IF-2; GTPase)
ACM49065.1	gnl|CDD|223128	29.861	144	87	3	12	154	14	144	1.88e-09	56.9	21	COG0050	J					GTPases - translation elongation factors
ACM49065.1	gnl|CDD|225815	27.820	133	72	5	12	139	2	115	4.32e-07	49.7	19	COG3276	J					Selenocysteine-specific translation elongation factor
ACM49065.1	gnl|CDD|225448	32.759	116	59	5	18	116	14	127	5.01e-05	43.1	14	COG2895	P					GTPases - Sulfate adenylate transferase subunit 1
ACM49065.1	gnl|CDD|224082	25.000	92	55	3	68	145	44	135	0.002	37.9	11	COG1160	R					Predicted GTPases
ACM49066.1	gnl|CDD|223128	68.367	392	119	3	3	393	7	394	0.0	631	99	COG0050	J					GTPases - translation elongation factors
ACM49066.1	gnl|CDD|227581	33.634	443	224	15	4	393	3	428	2.00e-86	266	99	COG5256	J					Translation elongation factor EF-1alpha (GTPase)
ACM49066.1	gnl|CDD|225815	26.110	383	219	9	9	374	1	336	2.24e-49	170	93	COG3276	J					Selenocysteine-specific translation elongation factor
ACM49066.1	gnl|CDD|227583	28.440	436	248	16	2	392	111	527	9.80e-40	145	99	COG5258	R					GTPase
ACM49066.1	gnl|CDD|227582	28.859	447	217	22	5	390	7	413	1.23e-34	129	98	COG5257	J					Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase)
ACM49066.1	gnl|CDD|225448	28.042	378	209	18	53	393	66	417	6.40e-33	125	87	COG2895	P					GTPases - Sulfate adenylate transferase subunit 1
ACM49066.1	gnl|CDD|224138	31.179	263	129	14	10	247	7	242	2.75e-20	89.6	61	COG1217	T					Predicted membrane GTPase involved in stress response
ACM49066.1	gnl|CDD|223556	30.263	152	90	4	10	153	12	155	1.93e-15	75.0	37	COG0480	J					Translation elongation factors (GTPases)
ACM49066.1	gnl|CDD|223606	32.618	233	118	12	15	240	12	212	2.75e-14	71.0	58	COG0532	J					Translation initiation factor 2 (IF-2; GTPase)
ACM49066.1	gnl|CDD|223557	29.644	253	142	13	1	242	1	228	5.94e-08	51.4	62	COG0481	M					Membrane GTPase LepA
ACM49066.1	gnl|CDD|226593	29.070	86	56	2	54	137	62	144	4.16e-06	45.7	21	COG4108	J					Peptide chain release factor RF-3
ACM49066.1	gnl|CDD|227254	29.592	98	52	5	63	154	31	117	0.001	36.4	23	COG4917	E					Ethanolamine utilization protein
ACM49068.1	gnl|CDD|223328	35.955	178	112	1	10	187	3	178	1.79e-43	140	95	COG0250	K					Transcription antiterminator
ACM49069.1	gnl|CDD|223158	46.715	137	68	1	10	146	8	139	4.90e-48	148	93	COG0080	J					Ribosomal protein L11
ACM49070.1	gnl|CDD|223159	49.515	206	104	0	8	213	20	225	2.72e-87	254	95	COG0081	J					Ribosomal protein L1
ACM49071.1	gnl|CDD|223322	32.624	141	93	2	7	146	5	144	3.59e-24	90.0	84	COG0244	J					Ribosomal protein L10
ACM49072.1	gnl|CDD|223300	43.077	130	65	4	5	134	4	124	4.38e-22	82.0	97	COG0222	J					Ribosomal protein L7/L12
ACM49073.1	gnl|CDD|223163	43.926	1350	436	22	39	1380	24	1060	0.0	1324	97	COG0085	K					DNA-directed RNA polymerase, beta subunit/140 kD subunit
ACM49074.1	gnl|CDD|223164	45.487	853	389	16	18	844	6	808	0.0	856	66	COG0086	K					DNA-directed RNA polymerase, beta' subunit/160 kD subunit
ACM49074.1	gnl|CDD|223164	32.653	49	29	1	903	947	414	462	2.51e-04	42.6	66	COG0086	K					DNA-directed RNA polymerase, beta' subunit/160 kD subunit
ACM49074.1	gnl|CDD|223164	12.613	222	151	11	719	930	91	279	0.001	39.9	66	COG0086	K					DNA-directed RNA polymerase, beta' subunit/160 kD subunit
ACM49075.1	gnl|CDD|223242	50.802	187	90	2	120	304	1	187	1.87e-78	235	55	COG0164	L					Ribonuclease HII
ACM49075.1	gnl|CDD|223969	27.835	194	105	10	100	265	65	251	1.67e-15	72.7	49	COG1039	L					Ribonuclease HIII
ACM49077.1	gnl|CDD|224159	28.467	137	93	2	1	133	10	145	6.05e-10	51.5	90	COG1238	S					Predicted membrane protein
ACM49078.1	gnl|CDD|223234	41.927	384	197	6	5	364	3	384	4.61e-118	345	95	COG0156	H					7-keto-8-aminopelargonate synthetase and related enzymes
ACM49078.1	gnl|CDD|223594	24.731	186	112	9	53	216	25	204	4.59e-06	45.4	43	COG0520	E					Selenocysteine lyase
ACM49078.1	gnl|CDD|223153	27.083	192	110	7	89	258	39	222	1.72e-05	43.4	45	COG0075	E					Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase
ACM49078.1	gnl|CDD|224919	21.196	184	116	7	83	241	30	209	3.40e-04	39.2	42	COG2008	E					Threonine aldolase
ACM49078.1	gnl|CDD|225428	25.287	174	94	9	94	249	68	223	4.83e-04	38.8	41	COG2873	E					O-acetylhomoserine sulfhydrylase
ACM49078.1	gnl|CDD|224029	25.424	59	39	1	158	216	130	183	5.63e-04	38.7	16	COG1104	E					Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes
ACM49079.1	gnl|CDD|224776	27.778	162	102	7	12	171	7	155	1.12e-12	59.6	92	COG1863	P					Multisubunit Na+/H+ antiporter, MnhE subunit
ACM49080.1	gnl|CDD|224438	27.203	261	172	4	1	254	1	250	3.30e-53	170	99	COG1521	K					Putative transcriptional regulator, homolog of Bvg accessory factor
ACM49081.1	gnl|CDD|223245	37.107	318	183	7	79	389	2	309	4.56e-102	301	80	COG0167	F					Dihydroorotate dehydrogenase
ACM49081.1	gnl|CDD|224011	26.471	102	67	3	239	340	177	270	2.63e-04	39.9	26	COG1086	M	G				Predicted nucleoside-diphosphate sugar epimerases
ACM49082.1	gnl|CDD|223320	39.333	150	74	4	15	163	13	146	1.20e-35	120	76	COG0242	J					N-formylmethionyl-tRNA deformylase
ACM49083.1	gnl|CDD|223477	24.390	205	141	6	44	245	13	206	8.92e-34	118	81	COG0400	R					Predicted esterase
ACM49083.1	gnl|CDD|226584	22.727	198	125	11	51	238	193	372	1.18e-05	42.6	75	COG4099	R					Predicted peptidase
ACM49083.1	gnl|CDD|224423	18.981	216	123	10	51	229	396	596	9.74e-05	40.2	72	COG1506	E					Dipeptidyl aminopeptidases/acylaminoacyl-peptidases
ACM49083.1	gnl|CDD|223669	18.852	122	79	4	52	173	24	125	1.60e-04	39.2	49	COG0596	R					Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)
ACM49083.1	gnl|CDD|226040	22.561	164	105	7	46	201	58	207	0.001	36.3	62	COG3509	Q					Poly(3-hydroxybutyrate) depolymerase
ACM49084.1	gnl|CDD|226148	30.070	286	182	10	1	271	6	288	1.25e-35	129	88	COG3621	R					Patatin
ACM49084.1	gnl|CDD|224666	22.843	197	109	10	5	188	15	181	1.33e-06	45.9	60	COG1752	R					Predicted esterase of the alpha-beta hydrolase superfamily
ACM49085.1	gnl|CDD|223337	49.479	192	93	2	27	218	27	214	5.01e-80	235	88	COG0259	H					Pyridoxamine-phosphate oxidase
ACM49086.1	gnl|CDD|223840	37.295	488	266	17	7	469	3	475	1.88e-124	368	98	COG0769	M					UDP-N-acetylmuramyl tripeptide synthase
ACM49086.1	gnl|CDD|223841	23.118	372	232	16	13	362	23	362	1.07e-26	109	74	COG0770	M					UDP-N-acetylmuramyl pentapeptide synthase
ACM49086.1	gnl|CDD|223842	23.411	299	170	16	85	370	104	356	1.93e-18	84.3	61	COG0771	M					UDP-N-acetylmuramoylalanine-D-glutamate ligase
ACM49086.1	gnl|CDD|223844	26.840	231	140	10	186	398	177	396	1.14e-15	76.1	45	COG0773	M					UDP-N-acetylmuramate-alanine ligase
ACM49086.1	gnl|CDD|223362	20.745	376	191	25	90	401	41	373	4.45e-11	61.5	66	COG0285	H					Folylpolyglutamate synthase
ACM49088.1	gnl|CDD|223699	31.053	380	238	11	39	407	29	395	2.00e-89	273	90	COG0626	E					Cystathionine beta-lyases/cystathionine gamma-synthases
ACM49088.1	gnl|CDD|225428	26.933	375	226	10	75	406	56	425	1.92e-50	172	81	COG2873	E					O-acetylhomoserine sulfhydrylase
ACM49088.1	gnl|CDD|223513	15.663	249	141	15	105	315	101	318	2.61e-05	43.0	52	COG0436	E					Aspartate/tyrosine/aromatic aminotransferase
ACM49088.1	gnl|CDD|223234	19.725	218	140	8	51	248	59	261	0.002	36.8	49	COG0156	H					7-keto-8-aminopelargonate synthetase and related enzymes
ACM49089.1	gnl|CDD|223349	35.366	82	49	2	65	145	8	86	3.77e-15	63.9	52	COG0271	T					Stress-induced morphogen (activity unknown)
